Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA2011,CA2011QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
All alcohol conditions,,d z,SMR01,1998/99,S12000015,,446.2,355.8,,:,1459,,1175,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S12000046,,1250.9,909.3,,:,6330,,4636,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000017,,769.5,589,,:,1558,,1193,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000018,,948.4,731.1,,:,752,,579,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000044,,542.5,418.2,,:,1621,,1248,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000029,,487.7,384.5,,:,1366,,1073,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000010,,396.7,316.3,,:,327,,260,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000040,,503.9,371.4,,:,699,,525,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000019,,486.5,369.5,,:,368,,281,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000020,,448.1,332.6,,:,365,,274,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000013,,1243.9,876.1,,:,331,,233,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000023,,517.3,419.3,,:,98,,80,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S12000024,,409.3,302.1,,:,540,,398,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S12000038,,770.5,577,,:,1235,,931,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S12000011,,349.9,292,,:,284,,237,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S12000027,,589.9,413.7,,:,128,,87,,,:,1.5
All alcohol conditions,,d z,SMR01,1998/99,S12000030,,509.9,376.9,,:,403,,301,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000033,,826.6,593.9,,:,1694,,1233,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000034,,387.9,299.2,,:,845,,653,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000041,,369.2,278.3,,:,393,,298,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000035,,890.1,607.6,,:,790,,536,,,:,1.5
All alcohol conditions,,d z,SMR01,1999/00,S12000008,,686.4,540.7,,:,794,,630,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000021,,728.4,566.7,,:,952,,742,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000028,,846,580,,:,921,,633,,,:,1.5
All alcohol conditions,,d z,SMR01,1999/00,S12000026,,497.2,358,,:,497,,359,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000005,,475.5,397.3,,:,219,,182,,,:,1.2
All alcohol conditions,,d z,SMR01,1999/00,S12000006,,480.3,364.7,,:,689,,523,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000045,,430.9,311.7,,:,435,,319,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000039,,873.9,644.7,,:,736,,546,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000042,,744.4,563.5,,:,1025,,780,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000036,,715.1,500.2,,:,2859,,2016,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000014,,400.5,297.7,,:,536,,400,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000015,,508.6,372.1,,:,1675,,1232,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000046,,1289.9,947,,:,6540,,4832,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000017,,840.6,605.1,,:,1713,,1231,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000018,,964.3,725.1,,:,766,,578,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000044,,643.4,475.8,,:,1933,,1428,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000029,,518.5,412.4,,:,1449,,1149,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000010,,458.6,359.1,,:,385,,303,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000040,,494.6,376.4,,:,694,,526,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000019,,511.9,388.5,,:,386,,292,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000020,,421.2,328.6,,:,342,,268,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000013,,1493.3,973.8,,:,399,,260,,,:,1.5
All alcohol conditions,,d z,SMR01,1999/00,S12000023,,558.1,482.5,,:,103,,89,,,:,1.2
All alcohol conditions,,d z,SMR01,1999/00,S12000024,,481.7,356.8,,:,630,,464,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000038,,844.5,623.5,,:,1347,,999,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S12000011,,364.2,297.9,,:,292,,239,,,:,1.2
All alcohol conditions,,d z,SMR01,1999/00,S12000027,,467.6,323,,:,108,,75,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S12000030,,510.5,382.8,,:,414,,310,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000033,,670,476.6,,:,1331,,956,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000034,,335.6,252.2,,:,733,,549,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000041,,366.8,271.3,,:,391,,289,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000035,,924.7,643.2,,:,825,,573,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000008,,693.4,534.6,,:,803,,622,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000021,,741.8,533.6,,:,969,,700,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000028,,769.7,526.9,,:,833,,574,,,:,1.5
All alcohol conditions,,d z,SMR01,2000/01,S12000026,,506.2,356.5,,:,517,,363,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000005,,534.1,402.2,,:,237,,178,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000006,,558.4,394,,:,800,,560,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000045,,397.1,298.1,,:,402,,303,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000039,,877,648.8,,:,733,,539,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000042,,715.9,545.2,,:,987,,760,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000036,,697.1,482,,:,2850,,1992,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000014,,361.7,286.1,,:,488,,385,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000015,,515.3,370.5,,:,1713,,1237,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000046,,1302.2,949.8,,:,6565,,4795,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000017,,829.5,611.6,,:,1703,,1255,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000018,,1081.2,751.9,,:,864,,599,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000044,,627.3,454.5,,:,1913,,1381,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000029,,530.1,402.8,,:,1496,,1140,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000010,,449.8,338.1,,:,379,,283,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000040,,521,381.6,,:,751,,553,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S12000019,,518.9,401.8,,:,397,,305,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000020,,511.1,382.5,,:,422,,319,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000013,,1353,928.5,,:,358,,246,,,:,1.5
All alcohol conditions,,d z,SMR01,2000/01,S12000023,,722.7,552.8,,:,138,,104,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000024,,546.7,411,,:,713,,535,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000038,,760.5,574.4,,:,1238,,931,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000011,,370.2,292.1,,:,296,,232,,,:,1.3
All alcohol conditions,,d z,SMR01,2000/01,S12000027,,432.2,351.3,,:,95,,77,,,:,1.2
All alcohol conditions,,d z,SMR01,2000/01,S12000030,,511.9,389.1,,:,419,,319,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000033,,719.5,532,,:,1451,,1085,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000034,,321.2,249.7,,:,719,,560,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000041,,376.7,285.9,,:,402,,303,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000035,,810.6,585.2,,:,724,,522,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000008,,809.6,613.7,,:,937,,714,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000021,,970,650.1,,:,1253,,847,,,:,1.5
All alcohol conditions,,d z,SMR01,2001/02,S12000028,,874.3,593.8,,:,953,,645,,,:,1.5
All alcohol conditions,,d z,SMR01,2001/02,S12000026,,573.9,400.5,,:,591,,412,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000005,,570.9,412.2,,:,271,,194,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000006,,522,367.4,,:,757,,531,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000045,,358.5,268.9,,:,370,,280,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000039,,811.8,575.1,,:,689,,484,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000042,,697.3,510.8,,:,941,,699,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000036,,758.8,526.9,,:,3131,,2173,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000014,,362.2,270.8,,:,505,,376,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000015,,513.5,388.5,,:,1728,,1307,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000046,,1329.8,940.1,,:,6710,,4769,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000017,,1038.5,752.5,,:,2129,,1535,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000018,,950.3,750.6,,:,757,,597,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000044,,680,503.4,,:,2099,,1548,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000029,,572.1,426.2,,:,1635,,1219,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000010,,469.1,375.5,,:,393,,313,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000040,,577.9,415.6,,:,852,,605,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000019,,576.5,441.5,,:,440,,338,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000020,,617.4,473.9,,:,514,,396,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000013,,1494.6,1110.9,,:,396,,294,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000023,,693.8,537.5,,:,131,,100,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000024,,546.7,401.6,,:,710,,519,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000038,,736,560.5,,:,1190,,904,,,:,1.3
All alcohol conditions,,d z,SMR01,2001/02,S12000011,,434.5,316,,:,354,,261,,,:,1.4
All alcohol conditions,,d z,SMR01,2001/02,S12000027,,351.3,288.8,,:,77,,64,,,:,1.2
All alcohol conditions,,d z,SMR01,2001/02,S12000030,,572.3,432.4,,:,475,,357,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000033,,741.1,539.6,,:,1486,,1093,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000034,,368.9,273,,:,831,,610,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000041,,361.4,270.7,,:,382,,285,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000035,,843.9,622.6,,:,754,,557,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000008,,983.6,690.6,,:,1146,,809,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000021,,1094.9,720.1,,:,1415,,939,,,:,1.5
All alcohol conditions,,d z,SMR01,2002/03,S12000028,,1035.9,693.7,,:,1123,,751,,,:,1.5
All alcohol conditions,,d z,SMR01,2002/03,S12000026,,576.1,413.6,,:,596,,425,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000005,,685.4,509.4,,:,321,,238,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000006,,553.5,399.1,,:,801,,570,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000045,,359,272.5,,:,367,,282,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000039,,968.7,699.5,,:,818,,591,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000042,,673.5,492.7,,:,916,,677,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000036,,706.8,496.3,,:,2882,,2025,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000014,,406.6,303.9,,:,568,,423,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000015,,501.9,397.4,,:,1691,,1343,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000046,,1356.9,970.1,,:,6858,,4906,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000017,,1098,770.6,,:,2271,,1581,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000018,,1099.6,784.1,,:,884,,630,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000044,,735.7,515.1,,:,2269,,1571,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000029,,575.4,448.1,,:,1649,,1289,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000010,,462.6,367.4,,:,398,,313,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000040,,595.4,414.1,,:,906,,628,,,:,1.4
All alcohol conditions,,d z,SMR01,2002/03,S12000019,,509.1,387,,:,388,,296,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000020,,642.2,500.4,,:,542,,421,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000013,,1854.7,1241.8,,:,482,,323,,,:,1.5
All alcohol conditions,,d z,SMR01,2002/03,S12000023,,708.1,540.3,,:,138,,104,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000024,,583.6,438.9,,:,758,,571,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000038,,810.1,604.9,,:,1307,,973,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000011,,400.3,300.6,,:,333,,250,,,:,1.3
All alcohol conditions,,d z,SMR01,2002/03,S12000027,,576,391,,:,127,,87,,,:,1.5
All alcohol conditions,,d z,SMR01,2002/03,S12000030,,604,447,,:,501,,371,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000033,,940,657.5,,:,1867,,1321,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000034,,404.2,310.3,,:,904,,692,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S12000041,,346.9,250.9,,:,369,,266,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000035,,729,540.7,,:,664,,490,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000008,,880.4,629.5,,:,1036,,744,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000021,,1040.6,689.3,,:,1360,,899,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S12000028,,1081.6,726.6,,:,1169,,782,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S12000026,,538.9,373.4,,:,574,,395,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S12000005,,555,450.3,,:,261,,212,,,:,1.2
All alcohol conditions,,d z,SMR01,2003/04,S12000006,,549.2,405.3,,:,801,,585,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000045,,349.1,264.1,,:,354,,269,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S12000039,,952.4,640.4,,:,817,,550,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S12000042,,751.3,543.2,,:,1015,,742,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000036,,681.2,489,,:,2782,,1996,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000014,,416.8,329.7,,:,587,,463,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S12000015,,464.1,352.2,,:,1573,,1194,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S12000046,,1297.5,908.5,,:,6472,,4544,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000017,,1000.8,721.4,,:,2098,,1501,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000018,,1207.7,850.4,,:,956,,671,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000044,,768.8,521.2,,:,2374,,1589,,,:,1.5
All alcohol conditions,,d z,SMR01,2003/04,S12000029,,614.5,457.6,,:,1759,,1309,,,:,1.3
All alcohol conditions,,d z,SMR01,2003/04,S12000010,,477.3,355.3,,:,411,,304,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000040,,605.2,427.9,,:,897,,631,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000019,,642.3,471.3,,:,485,,358,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000020,,608.4,435.8,,:,529,,378,,,:,1.4
All alcohol conditions,,d z,SMR01,2003/04,S12000013,,1863.3,1320.9,,:,493,,347,,,:,1.4
